[-0.015, -0.029, 0.168, -52.171, 4.244, -165.554]   ===>   [0.055, 0.026, -0.168],  actual: [0.055, 0.026, -0.167]  (mse: 0.000001)
[-0.006, -0.042, 0.192, -18.104, -9.354, -170.285]   ===>   [0.042, 0.016, -0.167],  actual: [0.042, 0.017, -0.167]  (mse: 0.000001)
[0.021, 0.008, 0.184, -34.714, -4.142, -173.094]   ===>   [0.010, 0.065, -0.160],  actual: [0.010, 0.064, -0.160]  (mse: 0.000000)
[-0.016, -0.021, 0.168, 80.241, 0.015, -157.018]   ===>   [0.057, 0.030, -0.168],  actual: [0.057, 0.032, -0.169]  (mse: 0.000005)
[-0.003, -0.002, 0.184, -11.910, -10.210, -166.432]   ===>   [0.034, 0.056, -0.166],  actual: [0.034, 0.056, -0.165]  (mse: 0.000000)
[-0.018, -0.031, 0.186, 48.246, 3.632, -157.442]   ===>   [0.056, 0.026, -0.169],  actual: [0.057, 0.026, -0.168]  (mse: 0.000000)
[0.021, -0.036, 0.195, -76.970, 15.849, -165.706]   ===>   [0.016, 0.018, -0.162],  actual: [0.016, 0.019, -0.164]  (mse: 0.000005)
[-0.016, -0.040, 0.192, 42.789, -5.940, -174.038]   ===>   [0.053, 0.018, -0.168],  actual: [0.052, 0.018, -0.168]  (mse: 0.000002)
[0.021, -0.025, 0.192, -82.329, 2.359, -163.598]   ===>   [0.014, 0.029, -0.163],  actual: [0.014, 0.030, -0.163]  (mse: 0.000000)
[-0.003, -0.013, 0.172, 52.685, -3.373, -176.698]   ===>   [0.037, 0.042, -0.166],  actual: [0.036, 0.041, -0.165]  (mse: 0.000002)
[-0.020, -0.045, 0.189, -15.492, -10.878, -171.990]   ===>   [0.057, 0.014, -0.167],  actual: [0.058, 0.014, -0.167]  (mse: 0.000001)
[-0.026, -0.036, 0.184, -45.755, 13.090, -149.456]   ===>   [0.065, 0.022, -0.167],  actual: [0.064, 0.022, -0.167]  (mse: 0.000000)
[0.011, -0.016, 0.184, -64.267, -6.169, -164.665]   ===>   [0.022, 0.039, -0.165],  actual: [0.022, 0.040, -0.163]  (mse: 0.000004)
[0.008, -0.020, 0.186, 39.153, -4.844, -169.354]   ===>   [0.027, 0.035, -0.165],  actual: [0.026, 0.034, -0.166]  (mse: 0.000001)
[0.022, 0.002, 0.184, 37.979, -14.963, -172.811]   ===>   [0.009, 0.055, -0.161],  actual: [0.008, 0.055, -0.160]  (mse: 0.000001)
[-0.024, -0.044, 0.189, 21.164, 12.003, -162.892]   ===>   [0.064, 0.015, -0.168],  actual: [0.064, 0.016, -0.167]  (mse: 0.000001)
[0.019, -0.036, 0.189, 56.634, 8.581, -164.519]   ===>   [0.018, 0.016, -0.162],  actual: [0.018, 0.016, -0.162]  (mse: 0.000001)
[0.023, -0.031, 0.184, 27.579, 12.340, -156.438]   ===>   [0.014, 0.019, -0.161],  actual: [0.014, 0.020, -0.161]  (mse: 0.000000)
[0.027, -0.046, 0.198, -55.987, 6.323, -160.258]   ===>   [0.013, 0.011, -0.162],  actual: [0.011, 0.011, -0.160]  (mse: 0.000004)
[-0.013, -0.022, 0.187, -11.055, -1.762, -160.142]   ===>   [0.049, 0.034, -0.169],  actual: [0.048, 0.035, -0.167]  (mse: 0.000003)
[-0.016, -0.034, 0.181, 0.464, -8.014, -162.774]   ===>   [0.055, 0.023, -0.167],  actual: [0.054, 0.022, -0.167]  (mse: 0.000000)
[0.021, -0.020, 0.192, 51.693, -2.140, -176.177]   ===>   [0.013, 0.033, -0.163],  actual: [0.012, 0.034, -0.162]  (mse: 0.000001)
[0.015, -0.028, 0.195, -64.813, 4.266, -168.009]   ===>   [0.021, 0.027, -0.164],  actual: [0.020, 0.027, -0.165]  (mse: 0.000001)
[0.027, -0.043, 0.203, 32.540, 10.378, -164.483]   ===>   [0.013, 0.012, -0.161],  actual: [0.012, 0.012, -0.160]  (mse: 0.000001)
[-0.010, -0.043, 0.186, -41.534, 8.001, -167.569]   ===>   [0.050, 0.015, -0.167],  actual: [0.050, 0.014, -0.167]  (mse: 0.000000)
[-0.015, -0.016, 0.181, -8.553, 6.988, -158.376]   ===>   [0.052, 0.040, -0.169],  actual: [0.051, 0.041, -0.167]  (mse: 0.000005)
[-0.014, -0.042, 0.192, 79.717, 10.391, 175.562]   ===>   [0.052, 0.016, -0.167],  actual: [0.050, 0.016, -0.167]  (mse: 0.000004)
[0.013, -0.041, 0.192, 52.824, -5.083, -170.588]   ===>   [0.025, 0.013, -0.163],  actual: [0.024, 0.013, -0.163]  (mse: 0.000001)
[0.011, -0.042, 0.192, 77.509, 0.392, -178.922]   ===>   [0.027, 0.013, -0.163],  actual: [0.026, 0.013, -0.164]  (mse: 0.000002)
[0.024, -0.036, 0.192, -60.933, -9.997, -173.562]   ===>   [0.012, 0.018, -0.162],  actual: [0.012, 0.019, -0.162]  (mse: 0.000001)
[0.011, -0.026, 0.186, -46.532, -2.019, -171.935]   ===>   [0.025, 0.029, -0.165],  actual: [0.024, 0.029, -0.165]  (mse: 0.000000)
[0.021, 0.015, 0.179, 41.666, -11.665, -170.863]   ===>   [0.008, 0.069, -0.160],  actual: [0.007, 0.069, -0.158]  (mse: 0.000003)
[0.022, -0.039, 0.184, -56.770, -4.615, -171.750]   ===>   [0.014, 0.013, -0.161],  actual: [0.014, 0.014, -0.161]  (mse: 0.000001)
[0.006, -0.019, 0.170, -46.098, 11.757, -168.091]   ===>   [0.031, 0.035, -0.166],  actual: [0.030, 0.034, -0.165]  (mse: 0.000001)
[0.015, -0.033, 0.192, -31.552, 17.778, -156.069]   ===>   [0.023, 0.021, -0.163],  actual: [0.022, 0.021, -0.163]  (mse: 0.000001)
[-0.005, 0.003, 0.179, -60.095, 23.642, -165.358]   ===>   [0.040, 0.058, -0.166],  actual: [0.039, 0.058, -0.165]  (mse: 0.000001)
[-0.029, -0.039, 0.174, -78.410, -1.241, -162.253]   ===>   [0.069, 0.020, -0.168],  actual: [0.069, 0.020, -0.167]  (mse: 0.000000)
[-0.013, -0.044, 0.192, -25.704, -12.568, -168.181]   ===>   [0.049, 0.016, -0.167],  actual: [0.048, 0.016, -0.167]  (mse: 0.000001)
[0.012, -0.046, 0.198, -78.177, 16.488, -150.795]   ===>   [0.025, 0.012, -0.163],  actual: [0.026, 0.012, -0.165]  (mse: 0.000002)
[0.021, 0.012, 0.200, -37.908, 8.296, -160.525]   ===>   [0.010, 0.064, -0.161],  actual: [0.010, 0.064, -0.163]  (mse: 0.000007)
[-0.009, -0.023, 0.179, -66.514, 13.575, -169.443]   ===>   [0.047, 0.033, -0.167],  actual: [0.048, 0.033, -0.166]  (mse: 0.000000)
[-0.012, -0.013, 0.179, -18.821, 11.210, -157.103]   ===>   [0.048, 0.042, -0.168],  actual: [0.047, 0.043, -0.167]  (mse: 0.000002)
[0.024, 0.004, 0.195, 9.770, -9.422, -163.168]   ===>   [0.008, 0.056, -0.161],  actual: [0.007, 0.057, -0.160]  (mse: 0.000002)
[-0.021, -0.042, 0.187, -83.824, 10.822, -163.733]   ===>   [0.061, 0.017, -0.167],  actual: [0.060, 0.017, -0.168]  (mse: 0.000001)
[0.003, -0.009, 0.184, -36.437, -12.476, -161.840]   ===>   [0.029, 0.048, -0.164],  actual: [0.028, 0.049, -0.165]  (mse: 0.000001)
[-0.021, -0.042, 0.189, 38.647, -8.375, -162.108]   ===>   [0.060, 0.015, -0.168],  actual: [0.059, 0.015, -0.167]  (mse: 0.000001)
[0.022, -0.013, 0.187, 43.765, -6.515, -172.765]   ===>   [0.012, 0.039, -0.162],  actual: [0.010, 0.039, -0.163]  (mse: 0.000002)
[0.004, 0.006, 0.174, -58.040, 20.650, -162.875]   ===>   [0.029, 0.062, -0.165],  actual: [0.029, 0.062, -0.165]  (mse: 0.000000)
[-0.000, -0.012, 0.176, 75.313, 3.431, -179.604]   ===>   [0.034, 0.043, -0.166],  actual: [0.033, 0.043, -0.166]  (mse: 0.000001)
[-0.034, -0.006, 0.186, -53.024, 24.088, -148.885]   ===>   [0.070, 0.053, -0.170],  actual: [0.069, 0.053, -0.169]  (mse: 0.000001)
[0.007, -0.003, 0.176, 16.933, -11.090, -168.670]   ===>   [0.024, 0.053, -0.163],  actual: [0.024, 0.053, -0.163]  (mse: 0.000001)
[-0.002, -0.040, 0.189, -75.041, 5.646, -165.732]   ===>   [0.039, 0.016, -0.166],  actual: [0.040, 0.017, -0.167]  (mse: 0.000003)
[0.002, -0.009, 0.177, 17.616, -8.306, -170.010]   ===>   [0.032, 0.046, -0.165],  actual: [0.031, 0.046, -0.164]  (mse: 0.000002)
[-0.002, -0.040, 0.189, 82.390, -8.257, -163.254]   ===>   [0.042, 0.014, -0.167],  actual: [0.041, 0.014, -0.167]  (mse: 0.000000)
