[0.008, -0.031, 0.195, 43.997, 3.607, -168.655]   ===>   [0.028, 0.025, -0.164],  actual: [0.028, 0.025, -0.164]  (mse: 0.000000)
[0.019, -0.035, 0.186, -74.642, 3.665, -176.471]   ===>   [0.018, 0.020, -0.163],  actual: [0.018, 0.019, -0.162]  (mse: 0.000001)
[0.022, -0.001, 0.187, 38.488, -12.705, -173.493]   ===>   [0.008, 0.052, -0.161],  actual: [0.009, 0.053, -0.161]  (mse: 0.000001)
[0.018, -0.043, 0.189, -76.357, -5.609, -173.370]   ===>   [0.020, 0.013, -0.163],  actual: [0.019, 0.012, -0.162]  (mse: 0.000001)
[0.022, -0.010, 0.197, 4.410, 3.407, -161.652]   ===>   [0.012, 0.043, -0.163],  actual: [0.012, 0.045, -0.161]  (mse: 0.000007)
[-0.032, -0.044, 0.184, 21.512, -14.025, -163.733]   ===>   [0.071, 0.014, -0.168],  actual: [0.070, 0.014, -0.167]  (mse: 0.000002)
[-0.031, -0.045, 0.184, 74.274, 4.912, 173.918]   ===>   [0.068, 0.014, -0.167],  actual: [0.068, 0.014, -0.167]  (mse: 0.000001)
[-0.031, -0.008, 0.195, -70.437, 13.946, -172.496]   ===>   [0.065, 0.051, -0.169],  actual: [0.066, 0.051, -0.169]  (mse: 0.000001)
[0.024, -0.016, 0.184, -76.859, 18.021, -176.611]   ===>   [0.011, 0.037, -0.163],  actual: [0.012, 0.037, -0.162]  (mse: 0.000003)
[-0.005, -0.042, 0.192, -60.282, -7.401, -172.282]   ===>   [0.041, 0.017, -0.167],  actual: [0.042, 0.017, -0.167]  (mse: 0.000002)
[0.027, -0.046, 0.198, -55.987, 6.323, -160.258]   ===>   [0.012, 0.012, -0.162],  actual: [0.011, 0.011, -0.160]  (mse: 0.000003)
[-0.031, -0.032, 0.184, -37.867, -9.417, -165.323]   ===>   [0.067, 0.028, -0.169],  actual: [0.069, 0.029, -0.168]  (mse: 0.000002)
[0.006, -0.005, 0.176, 17.309, -9.801, -168.536]   ===>   [0.026, 0.050, -0.164],  actual: [0.027, 0.050, -0.163]  (mse: 0.000000)
[0.006, -0.039, 0.189, -6.268, -0.385, -165.912]   ===>   [0.032, 0.016, -0.165],  actual: [0.032, 0.015, -0.164]  (mse: 0.000001)
[-0.005, -0.029, 0.184, -49.463, 9.676, -159.487]   ===>   [0.042, 0.027, -0.167],  actual: [0.042, 0.027, -0.166]  (mse: 0.000000)
[-0.028, -0.041, 0.181, 0.204, -10.286, -158.633]   ===>   [0.066, 0.016, -0.168],  actual: [0.067, 0.017, -0.167]  (mse: 0.000002)
[0.020, -0.035, 0.195, -74.673, 21.052, -151.407]   ===>   [0.016, 0.021, -0.163],  actual: [0.015, 0.020, -0.164]  (mse: 0.000003)
[0.012, 0.000, 0.179, -21.121, -3.604, -167.549]   ===>   [0.018, 0.056, -0.162],  actual: [0.018, 0.057, -0.162]  (mse: 0.000001)
[0.005, -0.019, 0.179, -28.330, -4.635, -164.438]   ===>   [0.029, 0.035, -0.166],  actual: [0.029, 0.035, -0.165]  (mse: 0.000000)
[-0.004, -0.017, 0.181, -4.204, 11.871, -152.868]   ===>   [0.040, 0.038, -0.166],  actual: [0.039, 0.039, -0.165]  (mse: 0.000002)
[0.024, -0.025, 0.186, -24.350, -6.614, -172.330]   ===>   [0.010, 0.028, -0.163],  actual: [0.010, 0.028, -0.162]  (mse: 0.000001)
[-0.029, -0.042, 0.184, -6.030, 16.509, -148.521]   ===>   [0.068, 0.017, -0.168],  actual: [0.069, 0.016, -0.168]  (mse: 0.000001)
[0.002, -0.042, 0.189, -62.523, -0.731, -173.816]   ===>   [0.036, 0.015, -0.168],  actual: [0.036, 0.015, -0.165]  (mse: 0.000005)
[0.022, 0.012, 0.182, 9.363, -2.101, -157.205]   ===>   [0.007, 0.066, -0.159],  actual: [0.008, 0.066, -0.159]  (mse: 0.000002)
[0.015, -0.043, 0.195, 8.778, -7.565, -169.532]   ===>   [0.022, 0.013, -0.164],  actual: [0.022, 0.012, -0.163]  (mse: 0.000001)
[0.024, -0.025, 0.189, 43.879, 3.071, -157.350]   ===>   [0.011, 0.027, -0.163],  actual: [0.011, 0.026, -0.162]  (mse: 0.000003)
[-0.007, -0.009, 0.170, -44.297, 16.607, -154.228]   ===>   [0.043, 0.046, -0.166],  actual: [0.043, 0.046, -0.166]  (mse: 0.000001)
[0.008, -0.026, 0.187, 70.933, -4.601, -164.330]   ===>   [0.029, 0.027, -0.165],  actual: [0.029, 0.027, -0.165]  (mse: 0.000000)
[0.025, -0.038, 0.184, -57.824, 10.849, -160.355]   ===>   [0.011, 0.015, -0.161],  actual: [0.011, 0.015, -0.161]  (mse: 0.000001)
[0.007, -0.003, 0.172, -69.716, -2.881, -162.411]   ===>   [0.023, 0.053, -0.163],  actual: [0.023, 0.053, -0.163]  (mse: 0.000000)
[-0.028, -0.041, 0.179, 21.926, 1.876, -156.672]   ===>   [0.068, 0.015, -0.168],  actual: [0.069, 0.016, -0.167]  (mse: 0.000002)
[0.004, -0.020, 0.187, -39.436, 12.777, -151.629]   ===>   [0.031, 0.034, -0.166],  actual: [0.030, 0.035, -0.165]  (mse: 0.000003)
[0.020, 0.012, 0.179, 0.863, -5.552, -163.032]   ===>   [0.008, 0.067, -0.159],  actual: [0.009, 0.067, -0.159]  (mse: 0.000002)
[-0.029, -0.048, 0.197, -57.384, 2.517, -168.399]   ===>   [0.065, 0.015, -0.168],  actual: [0.066, 0.015, -0.167]  (mse: 0.000003)
[0.002, -0.004, 0.176, -73.240, 15.331, -164.413]   ===>   [0.031, 0.052, -0.164],  actual: [0.031, 0.052, -0.165]  (mse: 0.000000)
[-0.006, -0.019, 0.172, -31.997, -13.785, -167.463]   ===>   [0.041, 0.036, -0.167],  actual: [0.041, 0.037, -0.166]  (mse: 0.000002)
[0.019, -0.037, 0.192, 56.059, 0.452, -174.223]   ===>   [0.018, 0.017, -0.163],  actual: [0.018, 0.017, -0.162]  (mse: 0.000001)
[-0.026, -0.036, 0.186, -49.765, 8.325, -157.510]   ===>   [0.063, 0.023, -0.169],  actual: [0.063, 0.024, -0.170]  (mse: 0.000002)
[0.005, -0.042, 0.195, 76.670, 9.711, -167.360]   ===>   [0.033, 0.014, -0.166],  actual: [0.033, 0.013, -0.166]  (mse: 0.000000)
[0.011, 0.005, 0.176, 16.553, -7.590, -156.214]   ===>   [0.020, 0.059, -0.162],  actual: [0.020, 0.060, -0.162]  (mse: 0.000000)
[-0.030, -0.021, 0.189, -70.239, 14.326, -172.304]   ===>   [0.068, 0.038, -0.170],  actual: [0.068, 0.038, -0.170]  (mse: 0.000000)
[0.007, -0.041, 0.195, -52.759, 7.841, -156.793]   ===>   [0.030, 0.016, -0.164],  actual: [0.030, 0.015, -0.165]  (mse: 0.000003)
[0.006, 0.001, 0.169, -61.136, -1.116, -155.147]   ===>   [0.024, 0.057, -0.163],  actual: [0.024, 0.058, -0.162]  (mse: 0.000000)
[-0.015, -0.012, 0.174, 2.884, 18.951, -148.852]   ===>   [0.052, 0.045, -0.168],  actual: [0.052, 0.045, -0.167]  (mse: 0.000000)
[-0.007, -0.030, 0.192, 85.962, -1.179, -160.293]   ===>   [0.045, 0.025, -0.168],  actual: [0.044, 0.025, -0.168]  (mse: 0.000000)
[0.000, -0.041, 0.192, 52.316, -2.401, -170.843]   ===>   [0.037, 0.016, -0.166],  actual: [0.037, 0.015, -0.166]  (mse: 0.000001)
[-0.021, -0.043, 0.179, -41.928, 7.509, -167.452]   ===>   [0.061, 0.014, -0.168],  actual: [0.062, 0.014, -0.167]  (mse: 0.000002)
[0.022, -0.021, 0.189, 38.115, -11.783, -173.496]   ===>   [0.012, 0.031, -0.163],  actual: [0.012, 0.032, -0.164]  (mse: 0.000000)
[0.014, -0.035, 0.189, 55.836, 3.096, -177.179]   ===>   [0.022, 0.020, -0.163],  actual: [0.022, 0.020, -0.163]  (mse: 0.000000)
[-0.032, -0.022, 0.186, -68.358, 21.428, -159.953]   ===>   [0.069, 0.038, -0.170],  actual: [0.069, 0.038, -0.169]  (mse: 0.000001)
[-0.030, -0.016, 0.195, -69.573, 15.774, -174.901]   ===>   [0.066, 0.044, -0.170],  actual: [0.067, 0.044, -0.169]  (mse: 0.000000)
[0.001, -0.019, 0.187, -16.788, 10.010, -152.043]   ===>   [0.034, 0.035, -0.166],  actual: [0.033, 0.036, -0.165]  (mse: 0.000004)
[0.014, -0.027, 0.192, 47.201, -9.433, -166.114]   ===>   [0.022, 0.026, -0.164],  actual: [0.021, 0.026, -0.165]  (mse: 0.000003)
[0.010, -0.040, 0.189, 9.031, 10.797, -159.399]   ===>   [0.028, 0.015, -0.164],  actual: [0.029, 0.014, -0.165]  (mse: 0.000001)
[-0.014, -0.025, 0.165, -35.132, 5.044, -164.759]   ===>   [0.052, 0.030, -0.168],  actual: [0.053, 0.030, -0.168]  (mse: 0.000000)
[-0.028, -0.043, 0.189, 11.060, -9.666, -155.548]   ===>   [0.065, 0.016, -0.168],  actual: [0.065, 0.015, -0.168]  (mse: 0.000001)
[0.008, -0.017, 0.187, 56.771, -2.839, -178.158]   ===>   [0.025, 0.037, -0.165],  actual: [0.025, 0.038, -0.164]  (mse: 0.000001)
