[0.016, -0.036, 0.198, 13.781, -2.465, -170.690]   ===>   [0.021, 0.019, -0.163],  actual: [0.022, 0.020, -0.162]  (mse: 0.000002)
[0.021, -0.031, 0.192, 3.671, -8.140, -165.072]   ===>   [0.014, 0.023, -0.164],  actual: [0.015, 0.022, -0.162]  (mse: 0.000005)
[0.019, -0.028, 0.189, 77.410, -6.760, -173.740]   ===>   [0.018, 0.025, -0.163],  actual: [0.017, 0.024, -0.162]  (mse: 0.000003)
[-0.004, -0.004, 0.170, 38.715, -14.333, -174.443]   ===>   [0.038, 0.051, -0.165],  actual: [0.037, 0.052, -0.165]  (mse: 0.000003)
[0.017, -0.043, 0.198, 8.110, 2.463, -160.002]   ===>   [0.021, 0.011, -0.163],  actual: [0.021, 0.012, -0.164]  (mse: 0.000000)
[-0.015, 0.004, 0.183, -6.126, -11.125, -157.650]   ===>   [0.043, 0.066, -0.165],  actual: [0.045, 0.063, -0.166]  (mse: 0.000010)
[-0.018, -0.002, 0.179, -53.324, 26.334, -160.656]   ===>   [0.051, 0.056, -0.167],  actual: [0.054, 0.055, -0.167]  (mse: 0.000011)
[0.024, -0.013, 0.189, -58.492, 12.248, -166.107]   ===>   [0.009, 0.041, -0.163],  actual: [0.010, 0.040, -0.163]  (mse: 0.000001)
[0.022, -0.035, 0.195, 58.678, 5.252, -171.046]   ===>   [0.015, 0.018, -0.162],  actual: [0.014, 0.019, -0.161]  (mse: 0.000002)
[-0.006, -0.041, 0.189, -10.558, -3.891, -166.381]   ===>   [0.043, 0.016, -0.167],  actual: [0.043, 0.016, -0.166]  (mse: 0.000001)
[0.009, -0.042, 0.195, -31.346, 10.001, -163.551]   ===>   [0.030, 0.014, -0.164],  actual: [0.029, 0.014, -0.165]  (mse: 0.000001)
[0.015, -0.043, 0.195, 8.778, -7.565, -169.532]   ===>   [0.023, 0.012, -0.163],  actual: [0.022, 0.012, -0.163]  (mse: 0.000003)
[-0.020, 0.006, 0.186, 20.382, 4.024, -146.622]   ===>   [0.052, 0.063, -0.168],  actual: [0.053, 0.063, -0.166]  (mse: 0.000006)
[-0.003, -0.022, 0.189, 56.334, -6.169, -171.555]   ===>   [0.037, 0.032, -0.167],  actual: [0.037, 0.032, -0.166]  (mse: 0.000000)
[0.002, -0.004, 0.176, -73.240, 15.331, -164.413]   ===>   [0.030, 0.051, -0.166],  actual: [0.031, 0.052, -0.165]  (mse: 0.000002)
[0.010, -0.021, 0.192, -57.055, 9.695, -152.113]   ===>   [0.024, 0.034, -0.164],  actual: [0.023, 0.035, -0.164]  (mse: 0.000001)
[0.007, -0.030, 0.189, 11.001, -7.887, -176.363]   ===>   [0.028, 0.025, -0.164],  actual: [0.027, 0.026, -0.164]  (mse: 0.000002)
[0.018, -0.041, 0.189, -14.280, 5.696, -165.969]   ===>   [0.020, 0.013, -0.163],  actual: [0.020, 0.013, -0.162]  (mse: 0.000004)
[0.025, -0.039, 0.192, 76.863, 1.190, -179.253]   ===>   [0.014, 0.015, -0.162],  actual: [0.012, 0.015, -0.161]  (mse: 0.000003)
[-0.027, -0.038, 0.181, -55.401, 11.106, -169.967]   ===>   [0.068, 0.023, -0.169],  actual: [0.069, 0.021, -0.168]  (mse: 0.000006)
[-0.030, 0.006, 0.181, -42.337, 17.556, -150.457]   ===>   [0.064, 0.065, -0.170],  actual: [0.064, 0.066, -0.168]  (mse: 0.000004)
[-0.028, -0.038, 0.181, 30.312, -8.939, -168.454]   ===>   [0.065, 0.019, -0.168],  actual: [0.065, 0.019, -0.170]  (mse: 0.000005)
[-0.024, -0.044, 0.189, 21.164, 12.003, -162.892]   ===>   [0.062, 0.016, -0.168],  actual: [0.064, 0.016, -0.167]  (mse: 0.000007)
[-0.004, -0.020, 0.187, 16.072, 7.685, -153.520]   ===>   [0.039, 0.036, -0.165],  actual: [0.040, 0.035, -0.167]  (mse: 0.000005)
[-0.001, -0.041, 0.192, -47.835, 6.456, -160.365]   ===>   [0.038, 0.016, -0.166],  actual: [0.039, 0.016, -0.165]  (mse: 0.000001)
[0.024, -0.002, 0.207, -65.102, 10.503, -164.293]   ===>   [0.011, 0.053, -0.163],  actual: [0.010, 0.051, -0.160]  (mse: 0.000007)
[0.007, -0.003, 0.176, 16.933, -11.090, -168.670]   ===>   [0.024, 0.053, -0.163],  actual: [0.024, 0.053, -0.163]  (mse: 0.000000)
[-0.026, -0.020, 0.181, -21.397, 16.946, -156.307]   ===>   [0.063, 0.040, -0.169],  actual: [0.064, 0.038, -0.169]  (mse: 0.000003)
[0.007, -0.024, 0.184, -47.768, -7.451, -168.183]   ===>   [0.027, 0.032, -0.164],  actual: [0.027, 0.032, -0.165]  (mse: 0.000001)
[0.021, -0.003, 0.189, 25.689, -2.251, -152.770]   ===>   [0.010, 0.050, -0.161],  actual: [0.010, 0.049, -0.160]  (mse: 0.000003)
[0.006, -0.017, 0.184, -75.672, -5.436, -165.832]   ===>   [0.027, 0.039, -0.165],  actual: [0.027, 0.040, -0.165]  (mse: 0.000001)
[0.022, -0.034, 0.192, -50.333, 8.542, -157.759]   ===>   [0.014, 0.021, -0.163],  actual: [0.014, 0.020, -0.162]  (mse: 0.000003)
[-0.016, -0.040, 0.186, -22.796, -2.044, -167.198]   ===>   [0.053, 0.018, -0.168],  actual: [0.053, 0.018, -0.168]  (mse: 0.000000)
[-0.017, -0.036, 0.187, -19.079, -4.375, -160.471]   ===>   [0.053, 0.021, -0.168],  actual: [0.054, 0.022, -0.167]  (mse: 0.000003)
[-0.006, -0.042, 0.192, -18.104, -9.354, -170.285]   ===>   [0.043, 0.017, -0.167],  actual: [0.042, 0.017, -0.167]  (mse: 0.000001)
[-0.019, -0.040, 0.181, 0.173, 13.209, -166.058]   ===>   [0.058, 0.017, -0.168],  actual: [0.058, 0.017, -0.168]  (mse: 0.000001)
[-0.029, -0.042, 0.186, 62.022, -6.900, -178.167]   ===>   [0.066, 0.018, -0.168],  actual: [0.067, 0.017, -0.170]  (mse: 0.000005)
[0.012, -0.028, 0.189, -47.110, -4.312, -169.395]   ===>   [0.023, 0.028, -0.165],  actual: [0.023, 0.027, -0.165]  (mse: 0.000000)
[0.001, -0.011, 0.184, -44.934, 19.921, -155.564]   ===>   [0.032, 0.044, -0.165],  actual: [0.033, 0.044, -0.165]  (mse: 0.000002)
[0.010, -0.043, 0.198, -13.260, -3.551, -154.913]   ===>   [0.025, 0.013, -0.165],  actual: [0.026, 0.013, -0.163]  (mse: 0.000003)
[-0.013, -0.018, 0.172, -58.683, 14.664, -155.369]   ===>   [0.050, 0.038, -0.167],  actual: [0.050, 0.039, -0.166]  (mse: 0.000001)
[-0.004, -0.040, 0.189, -8.092, 8.817, -158.365]   ===>   [0.041, 0.018, -0.167],  actual: [0.041, 0.016, -0.166]  (mse: 0.000002)
[-0.023, -0.043, 0.189, -26.630, -7.023, -154.708]   ===>   [0.059, 0.016, -0.167],  actual: [0.060, 0.016, -0.167]  (mse: 0.000002)
[-0.000, -0.040, 0.189, -27.488, 14.686, -158.325]   ===>   [0.038, 0.016, -0.166],  actual: [0.038, 0.016, -0.165]  (mse: 0.000001)
[0.022, -0.008, 0.187, -46.841, 0.024, -158.808]   ===>   [0.009, 0.046, -0.162],  actual: [0.010, 0.046, -0.162]  (mse: 0.000001)
[0.023, 0.016, 0.186, 78.766, -9.940, -177.150]   ===>   [0.007, 0.068, -0.159],  actual: [0.006, 0.068, -0.158]  (mse: 0.000001)
[-0.005, -0.004, 0.181, 41.300, -16.188, -169.332]   ===>   [0.038, 0.052, -0.164],  actual: [0.037, 0.051, -0.165]  (mse: 0.000003)
[-0.012, 0.008, 0.175, -36.543, -9.820, -160.409]   ===>   [0.041, 0.072, -0.164],  actual: [0.043, 0.069, -0.167]  (mse: 0.000014)
[0.026, -0.037, 0.186, 4.497, 0.783, -156.649]   ===>   [0.010, 0.015, -0.161],  actual: [0.011, 0.014, -0.161]  (mse: 0.000001)
[0.025, -0.026, 0.192, -42.054, 19.320, -163.850]   ===>   [0.010, 0.028, -0.162],  actual: [0.011, 0.026, -0.163]  (mse: 0.000005)
[0.011, -0.041, 0.195, 52.798, -5.358, -165.229]   ===>   [0.028, 0.013, -0.164],  actual: [0.028, 0.014, -0.164]  (mse: 0.000001)
[0.013, 0.010, 0.179, -4.986, -8.387, 178.693]   ===>   [0.022, 0.058, -0.164],  actual: [0.017, 0.068, -0.161]  (mse: 0.000151)
[-0.005, -0.010, 0.189, -0.686, 7.912, -151.148]   ===>   [0.040, 0.045, -0.168],  actual: [0.039, 0.046, -0.165]  (mse: 0.000008)
[-0.027, -0.039, 0.184, -83.465, 20.100, -158.294]   ===>   [0.067, 0.020, -0.170],  actual: [0.066, 0.020, -0.167]  (mse: 0.000007)
[0.025, -0.025, 0.192, 79.685, 5.374, -166.010]   ===>   [0.012, 0.027, -0.164],  actual: [0.011, 0.027, -0.163]  (mse: 0.000002)
[-0.016, -0.036, 0.189, 73.895, 7.397, 175.526]   ===>   [0.051, 0.021, -0.166],  actual: [0.051, 0.023, -0.166]  (mse: 0.000005)
[0.023, -0.026, 0.186, 79.288, 11.207, -168.887]   ===>   [0.012, 0.027, -0.165],  actual: [0.011, 0.026, -0.162]  (mse: 0.000006)
[0.012, -0.031, 0.189, 89.577, 9.345, -172.682]   ===>   [0.025, 0.023, -0.164],  actual: [0.024, 0.023, -0.163]  (mse: 0.000001)
[0.022, 0.013, 0.184, 38.229, -14.738, -172.763]   ===>   [0.007, 0.067, -0.159],  actual: [0.007, 0.067, -0.159]  (mse: 0.000000)
